id_beneficio_condicion,id_beneficio,tipo_docente,num_beneficio,monto_max,monto_min,max_fiadores,min_fiadores,haberes_req,estatus
1,1,160,1,34000,1000,0,0,80,1
2,1,161,1,34000,1000,0,0,80,1
3,1,162,1,34000,1000,0,0,80,1
4,2,160,1,0,1000,4,4,80,1
5,2,161,1,0,1000,4,4,80,1
6,2,162,1,0,1000,4,4,80,1
7,3,160,1,500000,1000,0,0,0,1
8,3,161,1,500000,1000,0,0,0,1
9,3,162,1,500000,1000,0,0,0,1
10,4,160,1,0,1000,0,0,80,1
11,4,161,1,0,1000,0,0,80,1
12,4,162,1,0,1000,0,0,80,1
13,5,160,1,0,1000,0,0,80,1
14,5,161,1,0,1000,0,0,80,1
15,5,162,1,0,1000,0,0,80,1
16,6,160,1,0,1000,0,0,0,1
17,6,161,1,0,1000,0,0,0,1
18,6,162,1,0,1000,0,0,0,1
